"","TileID","stop_name"
"1","88a8a0756dfffff","Terminal Alvorada"
"2","88a8a06085fffff","Madureira / Paulo da Portela"
"3","88a8a0608dfffff","Campinho"
"4","88a8a060cbfffff","Praça Seca"
"5","88a8a062bdfffff","Tanque"
"6","88a8a06283fffff","Taquara"
"7","88a8a06289fffff","Santa Efigênia"
"8","88a8a07531fffff","Asa Branca"
"9","88a8a07531fffff","Curicica"
"10","88a8a07515fffff","Morro do Outeiro"
"11","88a8a0751dfffff","Riocentro"
"12","88a8a0751dfffff","Olof Palme"
"13","88a8a0746bfffff","Recreio"
"14","88a8a07469fffff","Recreio"
"15","88a8a02a19fffff","Pingo d'Água"
"16","88a8a02a19fffff","Pingo D'Água"
"17","88a8a02a05fffff","Magarça"
"18","88a8a039bbfffff","Mato Alto"
"19","88a8a07633fffff","Recreio Shopping"
"20","88a8a07441fffff","Gláucio Gil"
"21","88a8a0746bfffff","Salvador Allende"
"22","88a8a02ac7fffff","Curral Falso"
"23","88a8a02ac5fffff","Santa Veridiana"
"24","88a8a02a13fffff","Vendas de Varanda"
"25","88a8a02a9dfffff","Santa Cruz"
"26","88a8a02a8bfffff","General Olímpio"
"27","88a8a02a8bfffff","Gastão Rangel"
"28","88a8a02a89fffff","Cajueiros"
"29","88a8a07637fffff","Nova Barra"
"30","88a8a07637fffff","Gilka Machado"
"31","88a8a07547fffff","Américas Park"
"32","88a8a07545fffff","Novo Leblon"
"33","88a8a0719bfffff","Jardim Oceânico"
"34","88a8a0624dfffff","Bosque Marapendi"
"35","88a8a070b3fffff","Parque das Rosas"
"36","88a8a0756dfffff","Barra Shopping (Parador)"
"37","88a8a076e9fffff","Notre Dame"
"38","88a8a07539fffff","Minha Praia"
"39","88a8a07539fffff","Parque Olímpico"
"40","88a8a07515fffff","Terminal Centro Olímpico"
"41","88a8a07537fffff","Leila Diniz"
"42","88a8a062d9fffff","Ventura"
"43","88a8a062d1fffff","Colônia"
"44","88a8a06735fffff","Vila Militar"
"45","88a8a06739fffff","São José de Magalhães Bastos"
"46","88a8a06707fffff","Padre João Chribbin"
"47","88a8a06705fffff","Marechal Fontenelle"
"48","88a8a0752bfffff","Rede Sarah"
"49","88a8a0752bfffff","Rio 2"
"50","88a8a07521fffff","Centro Metropolitano"
"51","88a8a07567fffff","Aeroporto de Jacarepaguá"
"52","88a8a07567fffff","Via Parque"
"53","88a8a07561fffff","Lourenço Jorge"
"54","88a8a06299fffff","Outeiro Santo"
"55","88a8a06293fffff","Boiúna"
"56","88a8a06249fffff","Paulo Malta Rezende"
"57","88a8a0624bfffff","Afrânio Costa"
"58","88a8a070b7fffff","Barra Garden / Riviera"
"59","88a8a070b7fffff","Ricardo Marinho"
"60","88a8a07539fffff","Pedro Correia"
"61","88a8a07535fffff","Praça do Bandolim"
"62","88a8a062cbfffff","Vila Sapê - IV Centenário"
"63","88a8a062cbfffff","Arroio Pavuna"
"64","88a8a062c3fffff","Recanto das Palmeiras"
"65","88a8a06289fffff","Merck"
"66","88a8a06289fffff","Divina Providência"
"67","88a8a06281fffff","André Rocha"
"68","88a8a06287fffff","Aracy Cabral"
"69","88a8a062b5fffff","Ipase"
"70","88a8a060c3fffff","Capitão Menezes"
"71","88a8a060c7fffff","Pinto Teles"
"72","88a8a07467fffff","Tapebuias"
"73","88a8a07553fffff","Ilha Pura"
"74","88a8a076d1fffff","Ilha de Guaratiba"
"75","88a8a07445fffff","Gelson Fonseca"
"76","88a8a07461fffff","Pontões / Barrasul"
"77","88a8a06085fffff","Madureira / Manaceia"
"78","88a8a060abfffff","Mercadão de Madureira"
"79","88a8a06193fffff","Vicente de Carvalho"
"80","88a8a061b7fffff","Penha I"
"81","88a8a061b7fffff","Penha II"
"82","88a8a039adfffff","CTEx"
"83","88a8a07447fffff","Guignard"
"84","88a8a07465fffff","Pedra de Itaúna"
"85","88a8a07559fffff","Golfe Olímpico"
"86","88a8a07559fffff","Interlagos"
"87","88a8a0755dfffff","Riomar"
"88","88a8a07543fffff","Santa Mônica Jardins"
"89","88a8a0756bfffff","Bosque da Barra"
"90","88a8a0744bfffff","Benvindo de Novaes"
"91","88a8a07633fffff","Guiomar Novaes"
"92","88a8a076edfffff","Recanto das Garças"
"93","88a8a076ebfffff","Dom Bosco"
"94","88a8a076c7fffff","Pontal"
"95","88a8a03987fffff","Embrapa"
"96","88a8a06705fffff","Terminal Sulacap"
"97","88a8a06a9bfffff","Maré"
"98","88a8a061a5fffff","Santa Luzia"
"99","88a8a061a1fffff","Cardoso de Moraes"
"100","88a8a061a1fffff","Cardoso Moraes"
"101","88a8a061a3fffff","Olaria"
"102","88a8a061b5fffff","Ibiapina"
"103","88a8a061b3fffff","Pastor José Santos"
"104","88a8a061b3fffff","Guaporé"
"105","88a8a06e6dfffff","Pedro Taques"
"106","88a8a06e6dfffff","Praça do Carmo"
"107","88a8a06193fffff","Vila Kosmos"
"108","88a8a06e4dfffff","Marambaia"
"109","88a8a060a3fffff","Vila Queiroz"
"110","88a8a060a3fffff","Vaz Lobo"
"111","88a8a060abfffff","Otaviano"
"112","88a8a06f05fffff","Galeão - Tom Jobim 1"
"113","88a8a06f05fffff","Galeão - Tom Jobim 2"
"114","88a8a0291dfffff","Campo Grande"
"115","88a8a02853fffff","Santa Eugênia"
"116","88a8a07461fffff","Catedral do Recreio"
